"t (s)","V (mV)"
"314,17","9,6907","2,271166663"
"315,17","9,6771","2,26976227"
"316,17","9,6634","2,268345553"
"317,17","9,6576","2,26774517"
"318,17","9,6644","2,268449031"
"319,17","9,6552","2,26749663"
"320,17","9,6574","2,267724461"
"321,17","9,6428","2,266211523"
"322,17","9,6391","2,265827743"
"323,17","9,6274","2,2646132"
"324,17","9,6071","2,262502408"
"325,17","9,5987","2,261627673"
"326,17","9,6023","2,262002653"
"327,17","9,5982","2,261575581"
"328,17","9,584","2,260095041"
"329,17","9,5809","2,259771533"
"330,17","9,5702","2,258654104"
"331,17","9,5595","2,257535424"
"332,17","9,5563","2,257200623"
"333,17","9,5575","2,257326187"
"334,17","9,544","2,255912685"
"335,17","9,5159","2,252964084"
"336,17","9,5161","2,252985101"
"337,17","9,5003","2,251323377"
"338,171","9,5021","2,251512827"
"339,17","9,4803","2,249215961"
"340,17","9,4817","2,249363625"
"341,17","9,4768","2,248846707"
"342,17","9,4829","2,249490177"
"343,17","9,4679","2,24790713"
"344,17","9,4512","2,246141718"
"345,17","9,4431","2,245284316"
"346,17","9,4462","2,245612544"
"347,17","9,4313","2,244033945"
"348,17","9,4037","2,241103229"
"349,17","9,4053","2,24127336"
"350,17","9,4044","2,241177665"
"351,17","9,3863","2,239251179"
"352,17","9,3849","2,239102015"
"353,171","9,361","2,236552122"
"354,17","9,3575","2,236178161"
"355,17","9,3497","2,235344257"
"356,17","9,3394","2,23424201"
"357,17","9,3364","2,233920739"
"358,17","9,3287","2,23309567"
"359,17","9,3208","2,232248462"
"360,171","9,3091","2,230992416"
"361,17","9,3068","2,230745316"
"362,17","9,2954","2,229519654"
"363,17","9,294","2,229369031"
"364,17","9,275","2,227322608"
"365,17","9,2448","2,224061231"
"366,17","9,275","2,227322608"
"367,17","9,2408","2,223628462"
"368,17","9,2211","2,221494336"
"369,17","9,2117","2,220474415"
"370,17","9,2145","2,22077833"
"371,17","9,209","2,220181267"
"372,17","9,1801","2,217038098"
"373,17","9,2028","2,219507786"
"374,17","9,2165","2,220995356"
"375,17","9,1893","2,218039764"
"376,17","9,179","2,216918266"
"377,17","9,1611","2,214966259"
"378,17","9,1587","2,214704247"
"379,17","9,1486","2,213600862"
"380,17","9,1468","2,213404091"
"381,17","9,1458","2,213294758"
"382,17","9,1426","2,212944809"
"383,17","9,1308","2,211653314"
"384,17","9,1173","2,210173708"
"385,17","9,1157","2,209998202"
"386,17","9,1092","2,209284892"
"387,17","9,102","2,20849417"
"388,17","9,0956","2,20779078"
"389,17","9,0831","2,206415544"
"390,17","9,071","2,205082512"
"391,17","9,086","2,206734767"
"392,17","9,0654","2,204464969"
"393,17","9,0551","2,203328135"
"394,17","9,0317","2,200740611"
"395,17","9,0478","2,202521634"
"396,17","9,0325","2,200829184"
"397,171","9,0189","2,199322375"
"398,17","9,0131","2,198679075"
"399,17","9,0175","2,199167134"
"400,17","9,0182","2,199244758"
"401,17","9,003","2,197557855"
"402,17","8,985","2,19555652"
"403,17","8,9759","2,194543208"
"404,17","8,9878","2,195868102"
"405,17","8,9763","2,194587771"
"406,17","8,9077","2,186916071"
"407,17","8,9475","2,191374164"
"408,17","8,9437","2,190949374"
"409,17","8,9359","2,190076871"
"410,17","8,9332","2,189774673"
"411,17","8,9301","2,189427593"
"412,17","8,9115","2,187342577"
"413,17","8,9252","2,188878736"
"414,17","8,9285","2,189248408"
"415,17","8,9043","2,186534306"
"416,17","8,9041","2,186511845"
"417,17","8,8933","2,185298184"
"418,17","8,8796","2,183756511"
"419,17","8,8528","2,180733793"
"420,17","8,8549","2,180970978"
"421,17","8,8392","2,179196375"
"422,17","8,8397","2,179252939"
"423,171","8,8025","2,175035772"
"424,171","8,8278","2,177905833"
"425,17","8,8188","2,176885806"
"426,17","8,7947","2,174149267"
"427,17","8,7895","2,173557827"
"428,17","8,7936","2,174024184"
"429,17","8,7897","2,173580581"
"430,17","8,7712","2,171473627"
"431,17","8,7562","2,169762021"
"432,171","8,7676","2,171063109"
"433,17","8,7542","2,169533585"
"434,17","8,7486","2,168893688"
"435,17","8,7185","2,165447205"
"436,171","8,7186","2,165458675"
"437,17","8,7187","2,165470144"
"438,17","8,705","2,163897573"
"439,17","8,6918","2,162380052"
