date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-04-18, 09:54:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:40	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:42	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:44	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:48	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:54	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:56	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:54:58	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:00	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:08	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:10	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:26	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:28	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:40	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:42	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:44	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:48	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:54	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:56	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:55:58	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:00	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:08	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:10	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:26	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:28	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
